Province,Year_BE,ICD_Code,Disease_Group_TH,Disease_Group_EN,Total_Patients,Total_Visits,Civil_Servant_Patients,Civil_Servant_Visits,Social_Security_Patients,Social_Security_Visits,Universal_Coverage_Patients,Universal_Coverage_Visits,Foreigner_Patients,Foreigner_Visits,Other_Scheme_Patients,Other_Scheme_Visits
อำนาจเจริญ,2567,F60-F69,ความผิดปกติทางบุคลิกภาพและพฤติกรรมของผู้ใหญ่,Disorders_Of_Adult_Personality_Behavior,45,78,2,2,2,2,41,74,0,0,0,0
อำนาจเจริญ,2567,F70-F79,ภาวะปัญญาอ่อน,Mental_Retardation,189,512,0,0,4,8,185,504,0,0,0,0
อำนาจเจริญ,2567,F80-F89,ความผิดปกติของพัฒนาการทางจิต,Disorders_Of_Psychological_Development,609,1324,28,46,22,24,564,1252,0,0,2,2
อำนาจเจริญ,2567,F81,ความผิดปกติจำเพาะของพัฒนาการทางทักษะในการเรียนรู้,Learning_Disorders,104,187,1,3,10,12,95,172,0,0,0,0
อำนาจเจริญ,2567,F84,โรคออติสติก,Autism_Spectrum_Disorder,232,584,10,19,7,7,219,558,0,0,0,0
อำนาจเจริญ,2567,F90,โรคสมาธิสั้น,ADHD,846,2796,48,126,38,61,781,2608,0,0,1,1
อำนาจเจริญ,2567,F90-F98,ความผิดปกติทางอารมณ์และพฤติกรรมที่มักเริ่มต้นในวัยเด็กและวัยรุ่น,Behavioral_Emotional_Disorders_Childhood_Adolescence,874,2848,49,134,40,69,806,2644,0,0,1,1
อำนาจเจริญ,2567,F99,ความผิดปกติทางจิตที่ไม่ระบุรายละเอียด,Unspecified_Mental_Disorder,3,4,0,0,0,0,3,4,0,0,0,0
อำนาจเจริญ,2567,X60-X84,ผู้พยายามฆ่าตัวตาย,Intentional_Self_Harm_Suicide_Attempt,124,143,4,5,31,34,90,103,0,0,1,1
อำนาจเจริญ,2568,F00-F03,โรคสมองเสื่อม,Dementia,300,901,49,129,1,8,250,763,0,0,1,1
